State,Crop,Cost of Production (Rs./Qtl),Implicit Rate (Rs./Qtl.),Derived Yield (Qtl./Hectare),Year,Expected Profit (Rs)
Uttar Pradesh,Moong,9132.14,6051.46,2.97971,2021-31,-9179.533002799995
West Bengal,Moong,3329.82,5761.78,5.12193,2021-32,12456.3288828
Andhra Pradesh,Urad,3038.74,6596.61,10.88525,2021-22,38728.30441749999
Gujarat,Urad,6444.95,5418.7,4.14,2021-23,-4248.674999999999
Himachal Pradesh,Urad,8802.07,10038.17,3.19747,2021-24,3952.3926670000037
Karnataka,Urad,4882.39,6629.26,5.38933,2021-25,9414.458897099998
Madhya Pradesh,Urad,3783.04,4672.95,5.83535,2021-26,5192.936318499997
Maharastra,Urad,4764.76,6254.59,8.061,2021-27,12009.519630000003
Odisha,Urad,4832.36,7309.58,3.49862,2021-28,8666.8514364
Rajasthan,Urad,5969.56,5483.16,4.85199,2021-29,-2360.007936000002
Tamil Nadu,Urad,5263.19,6791.97,6.31342,2021-30,9651.830227600003
Uttar Pradesh,Urad,6140.72,5772.04,3.01857,2021-31,-1112.8863876000032
West Bengal,Urad,3709.68,8632.32,7.0842,2021-32,34872.966287999996
Andhra Pradesh,Gram,2325.71,5709.64,16.18419,2021-22,54766.1660667
Bihar,Gram,2241.81,5595.54,13.26679,2021-23,44493.231626700006
Chhattisgarh,Gram,2371.99,4725.12,13.59278,2021-24,31985.578401400002
Gujarat,Gram,3139.12,4702.12,12.49905,2021-25,19536.01515
Haryana,Gram,2952.31,5037.55,8.87595,2021-26,18508.485978
Jharkhand,Gram,6115.38,5497.77,7.55381,2021-27,-4665.308594099995
Karnataka,Gram,3247.02,4826.79,9.23723,2021-28,14592.6988371
Madhya Pradesh,Gram,2453.75,4702.77,11.88079,2021-29,26720.134325800005
Maharastra,Gram,3156.8,4742.88,13.78387,2021-30,21862.320529599994
Rajasthan,Gram,2693.25,4680.74,13.2459,2021-31,26326.093790999992
Telangana,Gram,2374.58,5168.16,11.49097,2021-32,32100.943972600002
Uttar Pradesh,Gram,3654.45,5140.78,9.20588,2021-33,13682.9756204
Bihar,Lentil,2657.46,5215.13,9.5296,2021-22,24373.572032
Madhya Pradesh,Lentil,2351.87,4787.28,10.09998,2021-23,24597.592291800003
Uttar Pradesh,Lentil,2686.8,5641.89,9.24705,2021-24,27325.8649845
West Bengal,Lentil,4374.19,6365.04,9.19623,2021-25,18308.314495500003
Andhra Pradesh,Groundnut,6506.32,5394.37,9.75767,2021-22,-10850.041156499996
Gujarat,Groundnut,3858.33,5288.76,16.49826,2021-23,23599.6060518
Karnataka,Groundnut,4235.58,5649.1,12.23429,2021-24,17293.413600800006
Kerala,Groundnut,5217.4,5619.88,12.01426,2021-25,4835.499364800009
Maharastra,Groundnut,7835.84,5782.98,11.73862,2021-26,-24097.743453200004
Odisha,Groundnut,6265.35,6397.98,7.81273,2021-27,1036.2023798999944
Rajasthan,Groundnut,2438.01,5350.55,25.61527,2021-28,74605.4984858
Tamil Nadu,Groundnut,4398.79,5923.35,14.76148,2021-29,22504.761948800005
Telangana,Groundnut,5030.73,6477.73,17.84116,2021-30,25816.158519999997
Uttar Pradesh,Groundnut,3314.44,4758.28,10.44169,2021-31,15076.129689599991
West Bengal,Groundnut,3129.16,4665.96,32.58805,2021-32,50081.315240000025
Gujarat,Soyabean,6027.13,5010.07,6.30084,2021-22,-6408.3323304000005
Himachal Pradesh,Soyabean,7758.88,6195.05,4.44371,2021-23,-6949.207009300004
Karnataka,Soyabean,2820.11,4685.78,13.55349,2021-24,25286.339688299995
Madhya Pradesh,Soyabean,2651.89,3714.58,10.74311,2021-25,11416.5955659
Maharastra,Soyabean,3284.87,4870.08,16.07563,2021-26,25483.249432300006
Rajasthan,Soyabean,4260.01,5458.76,9.52398,2021-27,11416.871025
Telangana,Soyabean,4289.04,5191.5,8.3499,2021-28,7535.450754000005
Andhra Pradesh,Sunflower,3964.61,6426.12,10.23761,2021-22,25199.9793911
Bihar,Sunflower,2265.25,4000.41,17.4565,2021-23,30289.82054
Karnataka,Sunflower,4863.1,6373.9,7.87057,2021-24,11890.857155999991
Andhra Pradesh,Sesamum,6355.24,7828.27,3.6138,2021-22,5323.235814000003
Gujarat,Sesamum,38282.76,8856.25,3.21445,2021-22,-9300.4003295
Himachal Pradesh,Sesamum,32609.05,13867.59,2.26773,2021-22,-677.8925288999999
Kerala,Sesamum,30490.69,24996.38,1.42348,2021-22,5232.413549200002
Madhya Pradesh,Sesamum,26120.76,8818.23,5.77408,2021-22,25732.01429759999
Odisha,Sesamum,17495.08,7676.65,2.22367,2021-22,-298.37204060000295
Rajasthan,Sesamum,23111.32,7504.32,2.22201,2021-22,-5921.123367600001
Telangana,Sesamum,29716.97,9969.61,9.50798,2021-22,65073.8511574
